wikidata,label
Q622877,"Mao's Last Dancer (Bruce Beresford, 2009)"
Q32424,"Map of the Human Heart (Vincent Ward, 1992)"
Q127543586,The Marriage Of Figaro (2009)
Q6778749,"Mary (Kay Pavlou, 1994)"
Q1128756,"Mary and Max (Adam Elliot, 2009)"
Q3428577,"Matching Jack (Nadia Tass, 2010)"
Q18654947,"Maya the Bee Movie (Alexs Stadermann, 2014)"
Q127600408,Me & My Left Brain (2019)
Q3429348,"Me Myself I (Pip Karmel, 2000)"
Q116055825,Measure for Measure (Paul Ireland)
Q6815990,"Men's Group (Michael Joy, 2008)"
Q12126147,"Mental (P. J. Hogan, 2012)"
Q6822696,"Metal Skin (Geoffrey Wright, 1994)"
Q132636566,Mirror (2015)
Q60737579,"Miss Fisher and the Crypt of Tears (Tony Tilse, 2020)"
Q7751722,The Missing (1999)
Q12126301,"Mr. Accident (Yahoo Serious, 2000)"
Q6929129,"Mr. Reliable (Nadia Tass, 1996)"
Q12126226,"Modern Love (Alex Frayne, 2006)"
Q127600183,The Venus Factory (1998)
Q6900802,"Monkey Puzzle (Mark Forstmann, 2008)"
Q1712162,"The Monkey's Mask (Samantha Lang, 2000)"
Q21869637,"A Month of Sundays (Matthew Saville, 2015)"
Q115516441,Moon Rock For Monday (2021)
Q6917340,"Mother Fish (Khoa Do, 2009)"
Q193573,"Moulin Rouge! (Baz Luhrmann, 2001)"
Q6932119,"Muggers (Dean Murphy, 2000)"
Q127600721,Muirhouse (2012)
Q18611453,"The Mule (Angus Sampson/Tony Mahony, 2014)"
Q6934200,"Mullet (David Caesar, 2001)"
Q1348275,"Muriel's Wedding (P. J. Hogan, 1994)"
Q121788928,Mushrooms
Q127600107,My Blessings (1997)
Q111988443,"My First Summer (Katie Found, 2020)"
Q17558064,"My Mistress (Stephen Lance, 2014)"
Q6946075,"My Mother Frank (Mark Lamprell, 2000)"
Q6946494,"My Tehran for Sale (Granaz Moussavi, 2009)"
Q6946660,"My Year Without Sex (Sarah Watt, 2009)"
Q15039743,"Mystery Road (Ivan Sen, 2013)"
Q3018979,"Napoleon (Mario Andreacchio, 1994)"
Q6985914,"Ned (Abe Forsythe, 2003)"
Q391542,"Ned Kelly (Gregor Jordan, 2003)"
Q6986572,"Needle (John V. Soto, 2010)"
Q85788377,Never Too Late (2020)
Q2565495,"Newcastle (Dan Castle, 2008)"
Q4327809,"The Night We Called It a Day (Paul Goldman, 2003)"
Q29262902,"The Nightingale (Jennifer Kent, 2018)"
Q521188,"$9.99 (Tatia Rosenthal, 2008)"
Q7040133,"Nirvana Street Murder (Aleksi Vellis, 1990)"
Q7045189,"No Worries (David Elfick, 1994)"
Q132636568,Nocturnal (1994)
Q12126635,"Noise (Matthew Saville, 2007)"
Q7754411,"The Nostradamus Kid (Bob Ellis, 1992)"
Q12126653,"Not Suitable for Children (Peter Templeman, 2012)"
Q132636570,The Nothing Men (2010)
Q30321633,"Now Add Honey (Wayne Hope, 2015)"
Q3489980,"The Nugget (Bill Bennett, 2002)"
Q7754500,"The Nun and the Bandit (Paul Cox, 1992)"
Q127600836,Observance (2016)
Q12126682,Occasional Coarse Language (1998)
Q104879905,"Occupation: Rainfall (Luke Sparke, 2020)"
Q21095400,"Oddball (Stuart McDonald, 2015)"
Q7754873,"The Old Man Who Read Love Stories (Rolf de Heer, 2001)"
Q7091069,"On My Own (Antonio Tibaldi, 1991)"
Q24807149,"One Eyed Girl (Nick Remy Matthews, 2013)"
Q15040679,"100 Bloody Acres (Cameron Cairnes/Colin Cairnes, 2012)"
Q127599844,Q127599844
Q7093078,"One Night the Moon (Rachel Perkins, 2001)"
Q39074570,"1% (Stephen McCallum, 2017)"
Q7093117,"One Perfect Day (Paul Currie, 2004)"
Q7094331,"Only the Brave (Ana Kokkinos, 1994)"
Q3227001,"Opal Dream (Peter Cattaneo, 2006)"
